Event ID,Timestamp,Source IP,Destination IP,User Agent,Attack Type,Attack Severity,Data Exfiltrated,Threat Intelligence,Response Action
a07fc439-bb5b-4dfa-b2b5-c985608c7c03,2022-11-06 06:28:27,78.222.163.71,65.255.135.66,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/533.36.2 (KHTML, like Gecko) Version/5.0.2 Safari/533.36.2",DDoS,Medium,False,Last the fact member else.,Eradicated
fd3b0fd6-104c-4f9a-8fc7-336abd7704e9,2022-03-27 06:08:39,144.84.237.15,172.112.199.40,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/5.0),DDoS,Critical,False,Box similar late despite western receive.,Eradicated
ac384f45-cd3e-4fc0-a06b-67a10190c625,2020-12-15 02:22:52,154.33.81.111,130.25.23.6,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/54.0.897.0 Mobile/61M599 Safari/533.2",Insider Threat,Medium,False,Around whatever watch action her strong.,Recovered
a5f83f81-09dc-4c25-ab64-7b084073ad1d,2022-10-02 17:04:42,74.226.53.139,84.17.48.185,Opera/9.41.(X11; Linux x86_64; sd-PK) Presto/2.9.167 Version/10.00,Ransomware,Critical,False,Rate education everyone administration.,Eradicated
9b72df06-5aa2-4c86-a8d3-f7c27b8b84c4,2020-08-03 17:58:49,185.206.24.106,166.59.67.24,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.0),Ransomware,Medium,False,Reality church make campaign receive teach.,Contained
f98c0d80-dc3e-4fe5-9984-10a2026a2601,2021-04-09 08:51:13,1.165.28.24,56.177.218.172,Opera/9.52.(Windows 98; bhb-IN) Presto/2.9.172 Version/12.00,Ransomware,Critical,True,World it money.,Eradicated
a2245074-a49f-4d41-83d1-5f3036b16701,2021-11-01 00:45:50,41.160.2.76,11.183.57.53,Mozilla/5.0 (Windows NT 6.1; am-ET; rv:1.9.0.20) Gecko/2022-11-30 13:26:03 Firefox/3.8,Insider Threat,Low,False,Performance move third evening.,Contained
1ccd4691-1ed1-457c-b700-bf14e5c423f4,2023-01-30 23:21:35,200.62.82.16,214.218.18.202,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_9) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/63.0.899.0 Safari/532.0",Ransomware,High,False,Worker couple reveal should whose off.,Recovered
0aec8d45-f1d4-4442-95ee-c066720fa5e4,2023-10-03 10:33:47,124.8.149.209,53.42.34.13,Mozilla/5.0 (Windows NT 5.1; raj-IN; rv:1.9.0.20) Gecko/2022-09-18 09:09:10 Firefox/15.0,Ransomware,Critical,False,Decide customer general case picture market.,Blocked
0a5a0535-da55-4fff-b4e4-4b27ab01b6ac,2021-03-08 15:51:50,24.76.111.33,201.197.197.131,Opera/9.45.(X11; Linux i686; ca-IT) Presto/2.9.184 Version/10.00,Phishing,Medium,False,Detail under sort hundred try material.,Recovered
